folder,filename,duration,avg_rating,num_ratings,num_downloads,name
beast,fs_146558_hybrid_monster_growl.mp3,3.09,4.944444444444445,18,1792,Hybrid Monster Growl
beast,fs_171178_monstergrowl_mp3.mp3,2.65,4.7368421052631575,19,3125,MonsterGrowl.mp3
beast,fs_204912_didgeridoo_monster_roar.mp3,3.12,4.48051948051948,77,6809,Didgeridoo Monster Roar
beast,fs_342204_beast_snarling.mp3,3.22,4.515151515151516,33,3247,Beast Snarling
beast,fs_372531_dog_shih_tzu_growling_01_wav.mp3,1.71,4.722222222222222,18,2219,Dog Shih Tzu Growling 01.wav
beast,fs_445983_zombie_gargles.mp3,0.87,4.930232558139535,43,6236,Zombie gargles
beast,fs_466830_dragon_snarl_roar_attack.mp3,3.28,4.5,38,3492,"Dragon: Snarl, Roar + Attack"
beast,fs_555425_zombie_pain_6_wav.mp3,0.67,5.0,17,1269,Zombie Pain 6.wav
beast,fs_625500_animal_dog_growl_01_wav.mp3,2.27,4.285714285714286,35,2862,Animal Dog Growl 01.wav
beast,fs_77634_growl3_wav.mp3,4.34,4.456521739130435,23,2552,growl3.wav
beast,fs_800277_insect_animal_growl_chitter.mp3,1.73,5.0,16,340,Insect Animal Growl Chitter
dragon,fs_132874_monster_short_roar_wav.mp3,1.31,4.764705882352941,34,3940,Monster Short Roar.wav
dragon,fs_316746_large_creature_or_machinery_sound_wav.mp3,4.14,4.363636363636363,22,1147,Large Creature or Machinery Sound.wav
dragon,fs_342203_dragon_ambience.mp3,3.86,3.6470588235294117,17,1274,Dragon Ambience
dragon,fs_342204_beast_snarling.mp3,3.22,4.515151515151516,33,3247,Beast Snarling
dragon,fs_389639_growl_6.mp3,1.07,4.666666666666667,9,1069,Growl 6
dragon,fs_442964_dragon_roar.mp3,3.1,4.59375,32,3706,Dragon Roar
dragon,fs_466830_dragon_snarl_roar_attack.mp3,3.28,4.5,38,3492,"Dragon: Snarl, Roar + Attack"
dragon,fs_476083_cloverfield_roar_wav.mp3,4.89,4.547826086956522,115,7875,cloverfield roar.wav
dragon,fs_546516_tiger_creature_roar_fantasy_monster_sfx_.mp3,4.86,4.454545454545454,22,1249,Tiger Creature Roar Fantasy Monster SFX 201129_0081.wav
dragon,fs_614014_roar8_wav.mp3,1.51,4.791666666666667,24,1614,roar8.wav
dragon,fs_85568_dragon_roar_wav.mp3,2.47,4.577319587628866,194,27022,DRAGON_ROAR.wav
fiend,fs_182874_evilsatanlaugh_ogg.mp3,3.12,4.333333333333333,15,2129,EvilSatanLaugh.ogg
fiend,fs_245223_zombie_roar.mp3,4.49,4.25,36,2003,zombie roar
